SRC_IP,DST_IP,Protocol,Length,Check_SUM,TTL,OFFSET,OFF,DF,MK,HL,RF,SRC_PORT,DST_PORT,Sizeof,Version,Data
"[193, 123, 146, 19]","[192, 168, 43, 162]",17,109,62515,52,0,16384,16384,0,5,0,8801,62336,120,4,"b'""a\xf3\x80\x00YW\xf4\x03\x00\x00\x00\x8dqU`\xa2\x00\xce\xa8\xfe\x01\x05@,b\x16\x17\x00o\x93\xceC\x97\xa3\x14\xd7w\xdc\x1f\xa8\xc0L\xfd\xdd\xd5\xf4\x7f =}\x17h\x97\xa1<\x97Mr\xce\x1a\n\xb7\x8d\xde\xa2\x86m\xd8y\xd40\xeeK]\xbc\xfb9\xd9z\xd2\xb2\xf1\xa51\xe6\x13-\x00'"
"[192, 168, 43, 162]","[193, 123, 146, 19]",17,109,48490,128,0,0,0,0,5,0,62336,8801,120,4,"b'\xf3\x80""a\x00Y\xa5\xb2\x04\x00\x00\x00\x8dqU`\xa2\x00\xce\xa8\xfe\x01\x05@C\xaa\x893\x8dW\xed)l\x0bWc\x08pD]|FUP\x12\xee\x00\xbb\xd1\xcdl\x99\xf9ou<#\xd6f\xd6\x1cZ\xe2\xa2IM\x98\xb0\xbdj\xff\xcd\xf3aU\xd7(y%\x95[\x95s\xbf\x03\xde+\xc7\x00'"
"[193, 123, 146, 19]","[192, 168, 43, 162]",17,109,62497,52,0,16384,16384,0,5,0,8801,62336,120,4,"b'""a\xf3\x80\x00Y\xe6\x03\x04\x00\x00\x00\xae\x00\x19\t\x92\x00\xce\xa8\xfe\x01\x05@\t\xda&\xf8\xf2\xa3v\xf5\x89\xd2>\xcb\xe8\xabf([\x0f\xb3Fkb\xc4*\xa9/\x12\x96\xe0Y5]R\x1b\x96\xdf\x94g\xe4\xfb\x1f\xb6Gy\no8\xd3Y\xadO/\xac\x13\x97\xf1,\xbd\xf3\xd7\x15X\xa3\xaa\x00'"
"[193, 123, 146, 19]","[192, 168, 43, 162]",6,40,50984,52,0,16384,16384,0,5,0,443,50999,120,4,b'\x01\xbb\xc77zD\xa1]L+\xda\xf7P\x10\x00\x10d3\x00\x00'
"[193, 123, 146, 19]","[192, 168, 43, 162]",6,90,50933,52,0,16384,16384,0,5,0,443,50999,120,4,"b'\x01\xbb\xc77zD\xa1]L+\xda\xf7P\x18\x00\x10\x07\xc8\x00\x00\x17\x03\x03\x00-\n\x14\x8fK>\xb0d\x16\xc9\xfc\xc2\x83\xfa}\x9d3\xa8\x1c""6\xe2\x16\xf9 Wr\x84,\t\xa9L\xd7\x07\xc6\xfaLT\xbch\xfb^s)\xd4\xae'"
"[193, 123, 146, 19]","[192, 168, 43, 162]",17,109,62463,52,0,16384,16384,0,5,0,8801,62337,120,4,"b'""a\xf3\x81\x00Y$0\x03\x00\x00\x00\xb4qUa\x06\x00\xce\xa8\xff\x01\x05@\xcf\x00\x966\x99{\xa8O\x88+H\xf9p""\xd3\x9d\xea\xacn\xb0\x9b=\xeeQ\xb2b\xe9\xe7\x95\xad\xe4\xf2\xae\xa2\x83w\xfa\x00K\t\x8ajsN:B5\xd5pQkn\xceJ\x17<\x1ba\xb7[W\\\x19}\x00'"
"[192, 168, 43, 162]","[193, 123, 146, 19]",17,109,48489,128,0,0,0,0,5,0,62337,8801,120,4,"b'\xf3\x81""a\x00Y\xe3\xfa\x04\x00\x00\x00\xb4qUa\x06\x00\xce\xa8\xff\x01\x05@[\x87\x9aK#\x02\x86Y\'\x9c\x1d:\xbad\x03;\x92\x94\xde\xfe\xf7Tr\x13\xd0}\xe0\xf5\xd7\x7f\xa9\x94\x17\xbd\xdb\xb6\x1c\xd9\xcb\x8e\x08\xf7\xcd\xf1\x8a\xf0\x80\\\xbd/\x994\t\xea\xf7\xddG\x8a1L\xf6\x0f\xaay\x00'"
"[192, 168, 43, 162]","[193, 123, 146, 19]",6,40,32184,128,0,16384,16384,0,5,0,50999,443,120,4,b'\xc77\x01\xbbL+\xda\xf7zD\xa1\x8fP\x10\x01\x00c\x11\x00\x00'
"[192, 168, 43, 162]","[193, 123, 146, 19]",17,92,48504,128,0,0,0,0,5,0,62337,8801,120,4,"b'\xf3\x81""a\x00H\xcd{\x05\x02\x93\x00\xce\xa8\xff\x00""\x01\x00\xfb\x90\x0c\x10\x00\x00\x00\x00\x00\x00\x00\x00\x00\x80\xc8\x00\x06\x01\x00\x04\x02\xe3\xae\xd9i)\x92\x83\xea\x01E\xcb \x00\x00\x82Q\x004\xecP\x81\xca\x00\x02\x01\x00\x04\x02\x01\x00\x00\x00'"
"[192, 168, 43, 162]","[193, 123, 146, 19]",17,109,48486,128,0,0,0,0,5,0,62338,8801,120,4,"b'\xf3\x82""a\x00Y\xd1T\x03\x00\x00\x00\xb2\x00\x19\rp\x00\xce\xa9\x00\x01\x05@|\x88\xc8qih\xfd~P\x0c>\xa5+\xa7\xc3\xd7\xb2U{\x90\x11S\xf0\xa4\x9e\xde\xe4\xe9\x07\xb8\x84\xb8\xd3\x1c5\xe3I\xfb\x12\xba\xf5\x02\xd7\x08\xbf\xa2Ld6c\xe2\xb2\x14\xae\xea\xccf\xed\xa7\xc3>\xd1\xb8+\x00'"
